Date,Item,Type,Notes,Status
2001-01-01,Tazo Green Tea Frappuccino Blended Creme,Beverage,First introduced in Starbucks stores in Taiwan and Singapore; not yet available in North America,Discontinued
2005-07-13,Tazo Green Tea Frappuccino Blended Creme (US/Canada),Beverage,"Limited-time launch in US and Canada (available through Sept 30, 2005); made with real matcha powder",Discontinued
2005-07-13,Tazo Shaken Green Iced Tea,Beverage,"Limited-time launch in US and Canada (through Sept 30, 2005)",Discontinued
2005-07-13,Tazo Shaken Green Tea Lemonade,Beverage,"Limited-time launch in US and Canada (through Sept 30, 2005)",Discontinued
2006-04-04,Tazo Green Tea Latte (Hot Matcha Latte),Beverage,Officially launched as a year-round menu item; Starbucks' flagship matcha drink,Active (rebranded as Matcha Latte)
2006-04-04,Green Tea Crème Frappuccino,Beverage,Launched as a year-round item alongside the Green Tea Latte,Active (rebranded as Matcha Crème Frappuccino)
2006-04-04,Blackberry Green Tea Frappuccino Blended Creme,Beverage,"Seasonal/limited-time launch (through Aug 30, 2006); made with matcha and real blackberries",Discontinued
2006-04-04,Iced Matcha Green Tea Latte,Beverage,Iced version of the Green Tea Latte added to year-round menu,Active
2015-01-01,Matcha Lemonade (Iced Matcha Lemonade),Beverage,"Added to the permanent menu; exact date approximate, mid-2010s",Discontinued (March 4, 2025)
2025-01-02,Unsweetened Matcha Powder Formula,Ingredient Change,Starbucks switched to unsweetened matcha powder; customers can now customize sweetness level,Active
2025-03-04,Iced Lavender Cream Oatmilk Matcha,Beverage,Spring seasonal launch; lavender cold foam over iced matcha,Seasonal
2025-03-04,Iced Matcha Lemonade (Discontinued),Beverage,Removed from menu as part of ~30% menu simplification,Discontinued
2026-02-01,Iced Double Berry Matcha,Beverage,"Year-round addition; features raspberry syrup, launched February 2026",Active
2026-02-01,Iced Banana Bread Matcha,Beverage,Year-round addition launched February 2026,Active
2026-02-01,Strawberry Matcha Loaf,Food,Bakery item added to the menu in February 2026,Active
2026-01-01,Protein Matcha (multiple variants),Beverage,"Hot and iced protein matcha drinks added; four variants including Sugar-Free Caramel Protein Matcha",Active
2026-01-01,Iced Dubai Chocolate Matcha,Beverage,"Introduced in early 2026; became a top-selling drink quickly",Active
2026-04-07,Iced Mango Cream Matcha,Beverage,Spring 2026 addition; matcha topped with mango-flavored cold foam,Active (Seasonal)
